cycSecs,cycMps,cycGrade,cycRoadType
172,9.744444953,0,0
173,8.605555428,0,0
174,7.536110878,0,0
175,7.033333249,0,0
176,6.966666645,0,0
177,7.200000021,0,0
178,7.711111175,0,0
179,8.111111323,0,0
180,8.219444487,0,0
181,8.202777969,0,0
182,8.111111323,0,0
183,7.847222222,0,0
184,7.261110942,0,0
185,6.280555725,0,0
186,5.038888719,0,0
187,4.669444561,0,0
188,3.991666635,0,0
189,3.836111228,0,0
190,3.436111079,0,0
191,3.09444454,0,0
192,3.030555513,0,0
193,2.861111164,0,0
194,2.777777778,0,0
195,2.777777778,0,0
196,2.777777778,0,0
197,2.777777778,0,0
198,2.777777778,0,0
199,2.916666667,0,0
200,3.055555556,0,0
201,3.333333333,0,0
202,3.611111111,0,0
203,4.033333249,0,0
204,4.711111122,0,0
205,5.344444381,0,0
206,6.059722106,0,0
207,6.927777926,0,0
208,7.677777608,0,0
209,8.877777523,0,0
210,9.767778185,0,0
211,10.40666686,0,0
212,10.90111097,0,0
213,11.24833319,0,0
214,11.54555533,0,0
215,11.98444472,0,0
216,12.5,0,0
217,13.08222241,0,0
218,13.61555523,0,0
219,14.06444444,0,0
220,14.4022221,0,0
221,14.63555548,0,0
222,14.75083351,0,0
223,14.85361099,0,0
224,14.95222198,0,0
225,15.06888919,0,0
226,15.21055539,0,0
227,15.36194483,0,0
228,15.50638941,0,0
229,15.62444475,0,0
230,15.6897227,0,0
231,15.7049995,0,0
232,15.61333338,0,0
233,15.26333385,0,0
234,14.70499992,0,0
235,14.1758336,0,0
236,13.83833355,0,0
237,13.66333326,0,0
238,13.45499992,0,0
239,13.02166621,0,0
240,12.30916659,0,0
241,11.52166684,0,0
242,10.96333292,0,0
243,10.26944478,0,0
244,9.605556064,0,0
245,8.958333333,0,0
246,8.049999873,0,0
247,6.969444487,0,0
248,6.161111196,0,0
249,5.808333291,0,0
250,5.661110878,0,0
251,5.419444508,0,0
252,5.111111005,0,0
253,4.955555598,0,0
254,4.93888908,0,0
255,4.833333227,0,0
256,4.35416672,0,0
257,4.036111037,0,0
258,4.266666571,0,0
259,4.944444233,0,0
260,5.858333376,0,0
261,6.702777545,0,0
262,7.611111005,0,0
263,8.441666497,0,0
264,9.752777947,0,0
265,11.02777799,0,0
266,12.28611098,0,0
267,12.34166675,0,0
268,12.48333295,0,0
269,12.63055589,0,0
270,12.75277774,0,0
271,12.77777778,0,0
272,12.65833325,0,0
273,12.59444449,0,0
274,12.13333342,0,0
275,11.3388888,0,0
276,10.56666692,0,0
277,9.563888974,0,0
278,8.594444593,0,0
279,7.074999809,0,0
280,5.808333291,0,0
281,5.602777799,0,0
282,5.625,0,0
283,7.300000191,0,0
284,8.213888804,0,0
285,9.797222349,0,0
286,10.91944483,0,0
287,12.0944447,0,0
288,13.20277744,0,0
289,14.13055526,0,0
290,14.10555522,0,0
291,13.96388902,0,0
292,13.67222256,0,0
293,13.35555606,0,0
294,13.12777731,0,0
295,13.00833384,0,0
296,12.98055543,0,0
297,13.01111115,0,0
298,13.0805556,0,0
299,13.13333299,0,0
300,13.14166705,0,0
301,13.08611128,0,0
302,12.94166671,0,0
303,12.73055606,0,0
304,12.44166692,0,0
305,12.03055594,0,0
306,11.60833359,0,0
307,11.33333312,0,0
308,11.20833291,0,0
309,11.13333384,0,0
310,11.03333367,0,0
311,10.88055505,0,0
312,10.68055577,0,0
313,10.39444394,0,0
314,9.991667006,0,0
315,9.552777608,0,0
316,9.177778032,0,0
317,8.800000085,0,0
318,8.319444656,0,0
319,7.788889143,0,0
320,7.261110942,0,0
321,7.111111217,0,0
322,6.913888719,0,0
323,6.913888719,0,0
324,6.747222477,0,0
325,6.644444466,0,0
326,6.6333331,0,0
327,6.558333503,0,0
328,6.458333333,0,0
329,5.680555767,0,0
330,4.85833327,0,0
331,4.691666497,0,0
332,4.630555577,0,0
333,4.425000085,0,0
334,4.324999915,0,0
335,4.158333408,0,0
336,4.024999936,0,0
337,3.977777693,0,0
338,4.036111037,0,0
339,4.266666571,0,0
340,4.944444233,0,0
341,5.858333376,0,0
342,6.702777545,0,0
343,6.958333121,0,0
344,7.025000254,0,0
345,7.077777651,0,0
346,7.333333227,0,0
347,7.391666836,0,0
348,7.530555725,0,0
349,7.694444656,0,0
350,7.808333503,0,0
351,7.84166654,0,0
352,7.819444338,0,0
353,7.772222095,0,0
354,7.747222053,0,0
355,7.758333418,0,0
356,7.794444296,0,0
357,7.830555704,0,0
358,7.766666412,0,0
359,7.461111281,0,0
360,6.947222286,0,0
361,6.444444656,0,0
362,6.080555386,0,0
363,5.858333376,0,0
364,5.761111048,0,0
365,5.744444529,0,0
366,5.769444572,0,0
367,5.877777735,0,0
368,6.147221989,0,0
369,6.513889101,0,0
370,6.752777629,0,0
371,6.808333397,0,0
372,6.605555746,0,0
373,5.922222137,0,0
374,4.924999873,0,0
375,4.002777735,0,0
376,3.311111132,0,0
377,2.825000021,0,0
378,2.477777799,0,0
379,2.227777905,0,0
380,1.999999947,0,0
381,1.70277781,0,0
382,1.363888847,0,0
383,1.027777791,0,0
384,0.644444426,0,0
385,0.25555556,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,0,0
390,0,0,0
391,0,0,0
392,0.150000006,0,0
393,0.583333307,0,0
394,1.327777836,0,0
395,2.294444508,0,0
396,3.402777778,0,0
397,4.602777693,0,0
398,5.808333291,0,0
399,6.722222434,0,0
400,7.099999852,0,0
401,7.124999894,0,0
402,6.913888719,0,0
403,6.469444699,0,0
404,6.005555789,0,0
405,5.611111323,0,0
406,5.199999809,0,0
407,4.730555746,0,0
408,4.255555471,0,0
409,3.950000074,0,0
410,3.866666688,0,0
411,3.886111048,0,0
412,3.944444391,0,0
413,4.022222095,0,0
414,4.138888783,0,0
415,4.402777884,0,0
416,4.830555386,0,0
417,5.197221968,0,0
418,5.316666497,0,0
419,5.208333333,0,0
420,4.902777672,0,0
421,4.611111217,0,0
422,4.508333206,0,0
423,4.544444614,0,0
424,4.766666624,0,0
425,5.308333503,0,0
426,6.280555725,0,0
427,7.613888847,0,0
428,8.772222201,0,0
429,9.286111196,0,0
430,9.31388855,0,0
431,9.116666582,0,0
432,8.85000017,0,0
433,8.68888908,0,0
434,8.630555471,0,0
435,8.500000106,0,0
436,8.119444317,0,0
437,7.416666879,0,0
438,6.388888889,0,0
439,5.055555767,0,0
440,3.580555651,0,0
441,2.127777735,0,0
442,1.044444442,0,0
443,0.369444456,0,0
444,0.055555556,0,0
445,0,0,0
446,0,0,0
447,0,0,0
448,0,0,0
449,0,0,0
450,0,0,0
451,0,0,0
452,0,0,0
453,0,0,0
454,0,0,0
455,0,0,0
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,0,0,0
470,0,0,0
471,0,0,0
472,0,0,0
473,0,0,0
474,0,0,0
475,0,0,0
476,0,0,0
477,0,0,0
478,0,0,0
479,0,0,0
480,0,0,0
481,0,0,0
482,0,0,0
483,0,0,0
484,0,0,0
485,0,0,0
486,0,0,0
487,0,0,0
488,0,0,0
489,0,0,0
490,0,0,0
491,0,0,0
492,0,0,0
493,0,0,0
494,0,0,0
495,0,0,0
496,0,0,0
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0
501,0,0,0
502,0,0,0
503,0,0,0
504,0,0,0
505,0,0,0
506,0,0,0
507,0,0,0
508,0,0,0
509,0,0,0
510,0,0,0
511,0,0,0
512,0.13398437,0,0
513,0.686772996,0,0
514,1.819520394,0,0
515,3.273014228,0,0
516,4.677875837,0,0
517,5.680620935,0,0
518,6.081727876,0,0
519,6.088118553,0,0
520,5.905555619,0,0
521,5.625944138,0,0
522,5.341721111,0,0
523,4.957888391,0,0
524,4.307378663,0,0
525,3.311696847,0,0
526,2.118370268,0,0
527,1.123101181,0,0
528,0.558463534,0,0
529,0.287966563,0,0
530,0,0,0
531,0,0,0
532,0,0,0
533,0.050000002,0,0
534,0.324999988,0,0
535,0.880555577,0,0
536,1.441666683,0,0
537,2.286110984,0,0
538,3.605555428,0,0
539,5.233333376,0,0
540,6.408333249,0,0
541,6.802777714,0,0
542,6.819444233,0,0
543,6.738888952,0,0
544,6.555555662,0,0
545,6.18888908,0,0
546,5.577777757,0,0
547,4.949999915,0,0
548,4.902777672,0,0
549,4.494444529,0,0
550,4.216666751,0,0
551,4.116666582,0,0
552,3.938888974,0,0
553,3.838888804,0,0
554,3.661111196,0,0
555,3.611111111,0,0
556,3.611111111,0,0
557,3.661111196,0,0
558,3.838888804,0,0
559,4.03333346,0,0
560,4.577777651,0,0
561,4.722222222,0,0
562,4.722222222,0,0
563,4.722222222,0,0
