soc,fcKwOutAch,essKwOutAch,mcMechKwOutAch,auxInKw,mcElecKwInAch,mpgge,transKwInAch,mcMechKw4ForcedFc,canPowerAllElectrically,fuelKg,fuelKgAch,mphAch,speed
90.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
89.9999059864662,0,0.25,-0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99981197293239,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.9997179593986,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.9996239458648,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99952993233099,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99943591879719,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99934190526339,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99924789172958,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99915387819578,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99905986466197,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99896585112818,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99887183759438,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99877782406057,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99868381052679,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99858979699297,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99849578345918,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99840176992538,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99830775639157,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99821374285777,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99811972932396,0,0.25,0.0,0.25,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0.0
89.99703830958333,0,2.875702297376172,2.231846952769746,0.25,2.625702297376172,0,2.231846952769746,2.231846952769746,1,0.0,0.0,3.0000000007071,1.341141759
89.99413869524612,0,7.710630107580969,6.416141892519633,0.25,7.460630107580969,0,6.416141892519633,6.416141892519633,1,0.0,0.0,5.899999999824799,2.637578792
89.9898153763364,0,11.496533356878343,9.78448402048416,0.25,11.246533356878343,0,9.78448402048416,9.78448402048416,1,0.0,0.0,8.6000000002375,3.844606375
89.98358267514384,0,16.573946696995357,14.528312560325869,0.25,16.323946696995357,0,14.528312560325869,14.528312560325869,1,0.0,0.0,11.499999999355198,5.141043408
89.9759330281121,0,20.34187717937276,18.082689461435482,0.25,20.09187717937276,0,18.082689461435482,18.082689461435482,1,0.0,0.0,14.299999999120399,6.392775716
89.967337098229,0,22.858224595069448,20.46044325853785,0.25,22.608224595069448,0,20.46044325853785,20.46044325853785,1,0.0,0.0,16.900000000180597,7.555098574
89.96510665684887,0,5.931170996765376,4.82899534725057,0.25,5.681170996765376,0,4.82899534725057,4.82899534725057,1,0.0,0.0,17.2999999998275,7.733917475
89.96136797936404,0,9.94185978705197,8.334999416864694,0.25,9.69185978705197,0,8.334999416864694,8.334999416864694,1,0.0,0.0,18.099999999121298,8.091555277
89.95070961056352,0,28.342644853129627,25.564306816347962,0.25,28.092644853129627,0,25.564306816347962,25.564306816347962,1,0.0,0.0,20.7000000001815,9.253878135
89.94544263687499,0,14.00589222410262,12.105185157210306,0.25,13.75589222410262,0,12.105185157210306,12.105185157210306,1,0.0,0.0,21.700000000417198,9.700925388
89.94123068945584,0,11.200375223967994,9.526826444852155,0.25,10.950375223967994,0,9.526826444852155,9.526826444852155,1,0.0,0.0,22.399999989174,10.01385846
89.93963115905247,0,4.2534578229497635,3.402939149507299,0.25,4.0034578229497635,0,3.402939149507299,3.402939149507299,1,0.0,0.0,22.499999999710997,10.05856319
89.9400811003146,0,-1.2334845645624397,-1.7452759583087527,0.25,-1.4834845645624397,0,-1.7452759583087527,-1.7452759583087527,1,0.0,0.0,22.1000000000641,9.879744289
89.94112195548392,0,-2.853436422494213,-3.6511016735226036,0.25,-3.103436422494213,0,-3.6511016735226036,-3.6511016735226036,1,0.0,0.0,21.4999999994753,9.611515937
89.94213907108369,0,-2.7883559440526353,-3.5745364047678065,0.25,-3.0383559440526353,0,-3.5745364047678065,-3.5745364047678065,1,0.0,0.0,20.8999999988865,9.343287585
89.94285134957019,0,-1.9526649204452164,-2.5913704946414313,0.25,-2.2026649204452164,0,-2.5913704946414313,-2.5913704946414313,1,0.0,0.0,20.3999999998871,9.119763959
89.94382334220113,0,-2.6646542739126273,-3.429005028132503,0.25,-2.9146542739126273,0,-3.429005028132503,-3.429005028132503,1,0.0,0.0,19.7999999992983,8.851535607
89.95064413732993,0,-18.698764078402878,-21.05418230933653,0.25,-18.948764078402878,0,-21.05418230933653,-21.05418230933653,1,0.0,0.0,16.9999999995331,7.599803299
